sku,price
104,3.703
107 - 1,13.685
107 - 2,22.6016
107 - 3,31.7844
107,13.685
112 - 30,3.703
112 - 60,6.888
112 - 90,9.1368
112,3.703
1323 - 30,9.9705
1323 - 60,17.7408
1323 - 90,24.0624
1323,9.9705
1324 - 30,15.2375
1324 - 60,26.8688
1324 - 90,37.7892
1324,15.2375
799 - 30,9.9705
799 - 60,17.7408
799 - 90,24.0624
799,9.9705
800 - 30,15.2375
800 - 60,26.8688
800 - 90,37.7892
800,15.2375
801 - 30,16.3645
801 - 60,30.184
801 - 90,42.4332
801,16.3645
802 - 30,11.3275
802 - 60,20.1824
802 - 90,27.3348
802,11.3275
803 - 30,14.421
803 - 60,25.424
803 - 90,35.7696
803,14.421
804 - 30,11.3275
804 - 60,20.1824
804 - 90,27.3348
804,11.3275
805 - 30,13.4665
805 - 60,23.7552
805 - 90,33.426
805,13.4665
485 - 30,8.0845
485 - 60,14.4144
485 - 90,19.0404
485,8.0845
486 - 30,10.1545
486 - 60,18.1104
486 - 90,24.5484
486,10.1545
487 - 30,16.675
487 - 60,30.7776
487 - 90,43.2648
487,16.675
488 - 30,14.513
488 - 60,25.6032
488 - 90,36.0072
488,14.513
656 - 30,8.027
656 - 60,14.3248
656 - 90,18.9216
656,8.027
657 - 30,11.3275
657 - 60,20.1824
657 - 90,27.3348
657,11.3275
658 - 30,3.703
658 - 60,6.888
658 - 90,9.1368
658,3.703
659 - 30,1.4375
659 - 60,2.688
659 - 90,3.7044
659,1.4375
660 - 30,2.484
660 - 60,4.6144
660 - 90,6.372
660,2.484
661 - 30,3.013
661 - 60,5.6336
661 - 90,7.4628
661,3.013
662 - 30,3.2545
662 - 60,6.0368
662 - 90,7.992
662,3.2545
663 - 30,3.703
663 - 60,6.888
663 - 90,9.1368
663,3.703
1013 - 30,33.81
1013 - 60,64.512
1013 - 90,92.34
1013,33.81
1014 - 30,25.875
1014 - 60,48.384
1014 - 90,68.04
1014,25.875
480 - 30,2.1965
480 - 60,4.0992
480 - 90,5.6592
480,2.1965
481 - 30,3.3005
481 - 60,6.1488
481 - 90,8.1324
481,3.3005
482 - 30,5.3935
482 - 60,9.6432
482 - 90,13.3272
482,5.3935
1010 - 28,57.4885
1010 - 56,109.8832
1010 - 84,155.9196
1010,57.4885
1011 - 28,57.4885
1011 - 56,109.8832
1011 - 84,155.9196
1011,57.4885
1012 - 30,57.4885
1012 - 60,109.8832
1012 - 90,155.9196
1012,57.4885
715 - 30,14.421
715 - 60,25.4352
715 - 90,35.7588
715,14.421
483 - 30,5.3935
483 - 60,9.6432
483 - 90,13.3272
483,5.3935
484 - 30,8.8435
484 - 60,15.7808
484 - 90,21.384
484,8.8435
03/30,8.7975
03/60,15.6912
03/90,21.2652
3,8.7975
04/30,13.4665
04/60,23.7552
04/90,33.426
4,13.4665
415 - 28,0.966
415 - 56,1.7808
415 - 84,2.4732
415,0.966
416 - 28,1.518
416 - 56,2.8224
416 - 84,3.9204
416,1.518
783 - 30,6.578
783 - 60,11.7488
783 - 90,15.5088
783,6.578
784 - 30,11.9255
784 - 60,21.2464
784 - 90,28.8036
784,11.9255
1325 - 30,5.405
1325 - 60,9.632
1325 - 90,13.3272
1325,5.405
341 - 30,5.405
341 - 60,9.632
341 - 90,13.3272
341,5.405
870 - 30,2.1965
870 - 60,4.0992
870 - 90,5.6592
870,2.1965
871 - 30,3.013
